_id,operating_field_name,crop_name,experiment_id
609d5ece03021223f755c80a,turnrow,OTHER,flag_data_collection
609d78cc03021223f755e85b,turnrow,OTHER,flag_data_collection
609d75c29928da46f2949f9f,turnrow,OTHER,flag_data_collection
609d62f549951d69a78a7f7c,turnrow,OTHER,flag_data_collection
609d66023b89e106ce115184,turnrow,OTHER,flag_data_collection
609d629a642ae85d09266993,turnrow,OTHER,flag_data_collection
609d6e2a642ae85d092677db,turnrow,OTHER,flag_data_collection
609d713303021223f755df8c,turnrow,OTHER,flag_data_collection
609d762aeac18e126bd374cf,turnrow,OTHER,flag_data_collection
609d77935fa7db20cf7448e2,turnrow,OTHER,flag_data_collection
609d7bf70bc938007c89ba13,turnrow,OTHER,flag_data_collection
609d71e5b45aada9abddd215,turnrow,OTHER,flag_data_collection
609d70fa9a144e609c4f52f9,turnrow,OTHER,flag_data_collection
609d793d03021223f755e8c0,turnrow,OTHER,flag_data_collection
609d73d9f2b85e53b5bb7c47,turnrow,OTHER,flag_data_collection
609d73d179f30b24c8686856,turnrow,OTHER,flag_data_collection
609d7d8cef136efa02c0a0ce,turnrow,OTHER,flag_data_collection
609d75129928da46f2949f19,turnrow,OTHER,flag_data_collection
609d7ba43871ac77fd1dbc13,turnrow,OTHER,flag_data_collection
609d7455642ae85d09267fc9,turnrow,OTHER,flag_data_collection
609d7a7eca874426a19e5cb4,turnrow,OTHER,flag_data_collection
609d7bfc5d65177a7e13b03d,turnrow,OTHER,flag_data_collection
609d7f97b45aada9abdddd3b,turnrow,OTHER,flag_data_collection
609d7cdef25217490ac74f2a,turnrow,OTHER,flag_data_collection
609d7c24b45aada9abddda41,turnrow,OTHER,flag_data_collection
609d59c13b89e106ce114a4b,turnrow,OTHER,flag_data_collection
609d6008f25217490ac72a36,turnrow,OTHER,flag_data_collection
609d5fdf82d3afea531c2935,turnrow,OTHER,flag_data_collection
609d67fceac18e126bd36a8c,turnrow,OTHER,flag_data_collection
609d6140ef136efa02c08824,turnrow,OTHER,flag_data_collection
609d61b006f3e44278516107,turnrow,OTHER,flag_data_collection
609d596b06f3e442785156c0,turnrow,OTHER,flag_data_collection
609d695949951d69a78a824f,turnrow,OTHER,flag_data_collection
609d59ec9928da46f294879b,turnrow,OTHER,flag_data_collection
609d5ca65fa7db20cf743288,turnrow,OTHER,flag_data_collection
609d62e782d3afea531c2c58,turnrow,OTHER,flag_data_collection
609d5ad306f3e44278515892,turnrow,OTHER,flag_data_collection
609d6427ca874426a19e479b,turnrow,OTHER,flag_data_collection
609d5e4c79f30b24c8684fb6,turnrow,OTHER,flag_data_collection
609d667c49951d69a78a80c9,turnrow,OTHER,flag_data_collection
609d5e7b06f3e44278515c97,turnrow,OTHER,flag_data_collection
609d5eb1f2b85e53b5bb6937,turnrow,OTHER,flag_data_collection
609d5eda51983efa6031e153,turnrow,OTHER,flag_data_collection
609d67c206f3e4427851670d,turnrow,OTHER,flag_data_collection
609d6cfe03021223f755d91d,turnrow,OTHER,flag_data_collection
609d6e2779f30b24c8686146,turnrow,OTHER,flag_data_collection
609d678cf0b97b53264297b4,turnrow,OTHER,flag_data_collection
609d68c106f3e442785168c7,turnrow,OTHER,flag_data_collection
609d60f951983efa6031e39f,turnrow,OTHER,flag_data_collection
609d6f6182d3afea531c3c96,turnrow,OTHER,flag_data_collection
609d6a39f0b97b5326429890,turnrow,OTHER,flag_data_collection
609d6ae5ca874426a19e4c6f,turnrow,OTHER,flag_data_collection
609d715c642ae85d09267cf5,turnrow,OTHER,flag_data_collection
609d6b640bc938007c89a993,turnrow,OTHER,flag_data_collection
609d71c73871ac77fd1db588,turnrow,OTHER,flag_data_collection
609d63b9ca874426a19e474d,turnrow,OTHER,flag_data_collection
609d6c7d03021223f755d81c,turnrow,OTHER,flag_data_collection
609d6d113b89e106ce11554a,turnrow,OTHER,flag_data_collection
609d6c991c88d3e708cd5286,turnrow,OTHER,flag_data_collection
609d651ef0b97b53264296c4,turnrow,OTHER,flag_data_collection
609d65a89a144e609c4f499a,turnrow,OTHER,flag_data_collection
609d6644f2b85e53b5bb6efc,turnrow,OTHER,flag_data_collection
609d66b103021223f755d06c,turnrow,OTHER,flag_data_collection
609d678251983efa6031e9a7,turnrow,OTHER,flag_data_collection
609d6fd5eac18e126bd370e5,turnrow,OTHER,flag_data_collection
609d68443871ac77fd1dafcc,turnrow,OTHER,flag_data_collection
609d6842b45aada9abddc7b6,turnrow,OTHER,flag_data_collection
609d74ff9928da46f2949f12,turnrow,OTHER,flag_data_collection
609d70f5642ae85d09267c6f,turnrow,OTHER,flag_data_collection
609d71e23871ac77fd1db59a,turnrow,OTHER,flag_data_collection
609d6a40f2b85e53b5bb72f3,turnrow,OTHER,flag_data_collection
609d7170f25217490ac742b9,turnrow,OTHER,flag_data_collection
609d71a4ca874426a19e54fb,turnrow,OTHER,flag_data_collection
609d72cd3871ac77fd1db64e,turnrow,OTHER,flag_data_collection
609d76f3ef136efa02c09ba6,turnrow,OTHER,flag_data_collection
609d72de642ae85d09267e38,turnrow,OTHER,flag_data_collection
609d6c35f25217490ac73a61,turnrow,OTHER,flag_data_collection
609d7377f0b97b5326429e88,turnrow,OTHER,flag_data_collection
609d73f079f30b24c8686870,turnrow,OTHER,flag_data_collection
609d7415b45aada9abddd397,turnrow,OTHER,flag_data_collection
609d6e46642ae85d09267837,turnrow,OTHER,flag_data_collection
609d75e86034affa0532bdb3,turnrow,OTHER,flag_data_collection
609d6f8f5fa7db20cf74427f,turnrow,OTHER,flag_data_collection
609d76cdf2b85e53b5bb7eac,turnrow,OTHER,flag_data_collection
609d7aef82d3afea531c4a30,turnrow,OTHER,flag_data_collection
609d4606eac18e126bd35836,some plants,OTHER,flag_data_collection
609d516aca874426a19e38a2,some plants,OTHER,flag_data_collection
609d6103642ae85d092667df,some plants,OTHER,flag_data_collection
609d4aae79f30b24c8683b6a,some plants,OTHER,flag_data_collection
609d4a6b642ae85d09264fee,some plants,OTHER,flag_data_collection
609d4b233871ac77fd1d9fc4,some plants,OTHER,flag_data_collection
609d51b0642ae85d09265909,some plants,OTHER,flag_data_collection
609d53c8ef136efa02c07bfe,some plants,OTHER,flag_data_collection
609d53f50bc938007c8996f4,some plants,OTHER,flag_data_collection
609d5b16f2b85e53b5bb665b,some plants,OTHER,flag_data_collection
609d509551983efa6031d25f,some plants,OTHER,flag_data_collection
609d4c3af2b85e53b5bb583f,some plants,OTHER,flag_data_collection
609d54e706f3e44278515226,some plants,OTHER,flag_data_collection
609d51d051983efa6031d382,some plants,OTHER,flag_data_collection
609d523a51983efa6031d3d3,some plants,OTHER,flag_data_collection
609d55d3eac18e126bd360f3,some plants,OTHER,flag_data_collection
609d56e41c88d3e708cd45f0,some plants,OTHER,flag_data_collection
609d570f06f3e44278515451,some plants,OTHER,flag_data_collection
609d4e8aeac18e126bd35d4b,some plants,OTHER,flag_data_collection
609d579bf25217490ac72123,some plants,OTHER,flag_data_collection
609d5fff3b89e106ce114d81,some plants,OTHER,flag_data_collection
609d58a0eac18e126bd362a9,some plants,OTHER,flag_data_collection
609d58b70bc938007c899b50,some plants,OTHER,flag_data_collection
609d593e5fa7db20cf742fb0,some plants,OTHER,flag_data_collection
609d513ff25217490ac71a3e,some plants,OTHER,flag_data_collection
609d476c79f30b24c8683836,some plants,OTHER,flag_data_collection
609d47dceac18e126bd359c0,some plants,OTHER,flag_data_collection
609d488eeac18e126bd35a45,some plants,OTHER,flag_data_collection
609d4117642ae85d092645d9,some plants,OTHER,flag_data_collection
609d45175fa7db20cf741f6d,some plants,OTHER,flag_data_collection
609d45e40bc938007c898c90,some plants,OTHER,flag_data_collection
609d3d8bca874426a19e27c3,some plants,OTHER,flag_data_collection
